3 27 27 53 70 80
/home/lperez/instances/tsp/testing-2000//2000-307.tsp 32721214 32665237 32665237 32648238 32651381 32559590
/home/lperez/instances/tsp/testing-2000//2000-308.tsp 32615707 32646625 32646625 32730417 32639241 32672431
/home/lperez/instances/tsp/testing-2000//2000-309.tsp 32972997 32886054 32886054 32906581 32975817 33033764
/home/lperez/instances/tsp/testing-2000//2000-310.tsp 32729263 32580318 32580318 32645017 32702203 32706665
/home/lperez/instances/tsp/testing-2000//2000-311.tsp 33240215 33102371 33102371 33150860 33182562 33148162
/home/lperez/instances/tsp/testing-2000//2000-312.tsp 32501910 32498891 32498891 32511304 32495175 32448825
/home/lperez/instances/tsp/testing-2000//2000-313.tsp 32968715 32845390 32845390 32890947 32867472 32929324
/home/lperez/instances/tsp/testing-2000//2000-314.tsp 32720255 32599681 32599681 32469634 32532974 32591734
/home/lperez/instances/tsp/testing-2000//2000-315.tsp 32872507 32722081 32722081 32749091 32654061 32755928
/home/lperez/instances/tsp/testing-2000//2000-316.tsp 32838436 32738410 32738410 32803108 32771777 32706693
/home/lperez/instances/tsp/testing-2000//2000-317.tsp 32940856 32811139 32811139 32858501 32844734 32824824
/home/lperez/instances/tsp/testing-2000//2000-318.tsp 32592209 32584270 32584270 32552557 32603003 32593886
/home/lperez/instances/tsp/testing-2000//2000-319.tsp 32596732 32617018 32617018 32567681 32663717 32544706
/home/lperez/instances/tsp/testing-2000//2000-320.tsp 32668690 32474263 32474263 32506693 32597872 32523895
/home/lperez/instances/tsp/testing-2000//2000-4.tsp 32708369 32633841 32633841 32629624 32694812 32640450
/home/lperez/instances/tsp/testing-2000//2000-401.tsp 33023996 32917528 32917528 32934625 32969601 32940911
/home/lperez/instances/tsp/testing-2000//2000-402.tsp 32760287 32770098 32770098 32775861 32882422 32717343
/home/lperez/instances/tsp/testing-2000//2000-403.tsp 32700590 32726524 32726524 32603233 32692713 32731147
/home/lperez/instances/tsp/testing-2000//2000-404.tsp 32635805 32671131 32671131 32592358 32623396 32624207
/home/lperez/instances/tsp/testing-2000//2000-405.tsp 32302925 32250566 32250566 32461586 32255697 32260487
/home/lperez/instances/tsp/testing-2000//2000-406.tsp 32486952 32350110 32350110 32413588 32422638 32431034
/home/lperez/instances/tsp/testing-2000//2000-407.tsp 32415935 32209745 32209745 32318739 32300505 32271616
/home/lperez/instances/tsp/testing-2000//2000-408.tsp 32710413 32534793 32534793 32695312 32594138 32618221
/home/lperez/instances/tsp/testing-2000//2000-409.tsp 32705348 32673369 32673369 32667527 32682308 32730126
/home/lperez/instances/tsp/testing-2000//2000-410.tsp 32302168 32135111 32135111 32251121 32242533 32279445
/home/lperez/instances/tsp/testing-2000//2000-411.tsp 32380155 32328369 32328369 32284877 32283840 32343051
/home/lperez/instances/tsp/testing-2000//2000-412.tsp 32717406 32586508 32586508 32626356 32543124 32604708
/home/lperez/instances/tsp/testing-2000//2000-413.tsp 32792791 32728522 32728522 32686241 32807993 32796938
/home/lperez/instances/tsp/testing-2000//2000-414.tsp 32993167 32835318 32835318 32945964 32941588 32901243
/home/lperez/instances/tsp/testing-2000//2000-415.tsp 33136849 33025584 33025584 33075884 33057404 33084738
/home/lperez/instances/tsp/testing-2000//2000-416.tsp 32677032 32664999 32664999 32604335 32535752 32675323
/home/lperez/instances/tsp/testing-2000//2000-417.tsp 32811471 32594494 32594494 32674613 32761322 32725994
/home/lperez/instances/tsp/testing-2000//2000-418.tsp 33204214 33029731 33029731 33090642 33079747 33075180
/home/lperez/instances/tsp/testing-2000//2000-419.tsp 32802305 32764366 32764366 32756037 32696023 32750955
/home/lperez/instances/tsp/testing-2000//2000-420.tsp 32759540 32741966 32741966 32806143 32787538 32708164
/home/lperez/instances/tsp/testing-2000//2000-5.tsp 33114980 32941638 32941638 33003150 32981898 32984784
/home/lperez/instances/tsp/testing-2000//2000-501.tsp 32848908 32787369 32787369 32897335 32964832 32872256
/home/lperez/instances/tsp/testing-2000//2000-502.tsp 32883153 32762911 32762911 32806767 32941131 32867030
/home/lperez/instances/tsp/testing-2000//2000-503.tsp 32502451 32327903 32327903 32418487 32408751 32330396
/home/lperez/instances/tsp/testing-2000//2000-504.tsp 32466564 32476403 32476403 32458857 32548869 32543399
/home/lperez/instances/tsp/testing-2000//2000-505.tsp 32662952 32552529 32552529 32550946 32554317 32625884
/home/lperez/instances/tsp/testing-2000//2000-506.tsp 32611262 32553792 32553792 32615052 32663558 32699723
/home/lperez/instances/tsp/testing-2000//2000-507.tsp 32487688 32464413 32464413 32444833 32398952 32415165
/home/lperez/instances/tsp/testing-2000//2000-508.tsp 32497598 32416573 32416573 32511083 32405673 32495754
/home/lperez/instances/tsp/testing-2000//2000-509.tsp 33090952 33086211 33086211 33011973 33072297 33056491
/home/lperez/instances/tsp/testing-2000//2000-510.tsp 32389639 32300423 32300423 32440126 32360225 32342110
/home/lperez/instances/tsp/testing-2000//2000-511.tsp 32635860 32602666 32602666 32556600 32580797 32525919
/home/lperez/instances/tsp/testing-2000//2000-512.tsp 32775736 32718228 32718228 32729015 32751371 32754750
/home/lperez/instances/tsp/testing-2000//2000-513.tsp 32562948 32521998 32521998 32599485 32556652 32700631
/home/lperez/instances/tsp/testing-2000//2000-514.tsp 32596985 32566602 32566602 32582230 32521121 32608441
/home/lperez/instances/tsp/testing-2000//2000-515.tsp 32633528 32540837 32540837 32487779 32628506 32474771
/home/lperez/instances/tsp/testing-2000//2000-516.tsp 32798445 32803738 32803738 32740904 32753708 32731229
/home/lperez/instances/tsp/testing-2000//2000-517.tsp 32592930 32517097 32517097 32599292 32546396 32542853
/home/lperez/instances/tsp/testing-2000//2000-518.tsp 32945243 32922851 32922851 32963091 32912138 32963235
/home/lperez/instances/tsp/testing-2000//2000-519.tsp 33113717 33054930 33054930 33056090 33072073 33095625
/home/lperez/instances/tsp/testing-2000//2000-520.tsp 32767187 32637582 32637582 32635157 32671390 32747879
/home/lperez/instances/tsp/testing-2000//2000-6.tsp 32914791 32783109 32783109 32824414 32789569 32765387
/home/lperez/instances/tsp/testing-2000//2000-601.tsp 32447402 32283096 32283096 32417495 32362062 32436510
/home/lperez/instances/tsp/testing-2000//2000-602.tsp 32850869 32798758 32798758 32841863 32772747 32797975
/home/lperez/instances/tsp/testing-2000//2000-603.tsp 32813838 32806617 32806617 32802045 32766483 32823547
/home/lperez/instances/tsp/testing-2000//2000-604.tsp 32660223 32652305 32652305 32576413 32649283 32621461
/home/lperez/instances/tsp/testing-2000//2000-605.tsp 32451979 32366440 32366440 32387385 32386925 32381064
/home/lperez/instances/tsp/testing-2000//2000-606.tsp 32740586 32711183 32711183 32747164 32694010 32773718
/home/lperez/instances/tsp/testing-2000//2000-607.tsp 32959183 32880906 32880906 32895848 32881960 32856170
/home/lperez/instances/tsp/testing-2000//2000-608.tsp 32838601 32838694 32838694 32823387 32790712 32805939
/home/lperez/instances/tsp/testing-2000//2000-609.tsp 32803070 32632370 32632370 32649100 32704575 32680201
/home/lperez/instances/tsp/testing-2000//2000-610.tsp 32861519 32818776 32818776 32815435 32776596 32766256
/home/lperez/instances/tsp/testing-2000//2000-611.tsp 32967844 32760830 32760830 32774918 32864699 32843537
/home/lperez/instances/tsp/testing-2000//2000-612.tsp 32836467 32838658 32838658 32752501 32810639 32811673
/home/lperez/instances/tsp/testing-2000//2000-613.tsp 32947162 32842178 32842178 32884032 32884013 32910943
/home/lperez/instances/tsp/testing-2000//2000-614.tsp 32879012 32821956 32821956 32834873 32773276 32828236
/home/lperez/instances/tsp/testing-2000//2000-615.tsp 32914049 32921590 32921590 32921699 32777360 32770852
/home/lperez/instances/tsp/testing-2000//2000-616.tsp 32609893 32543480 32543480 32539538 32528678 32541187
/home/lperez/instances/tsp/testing-2000//2000-617.tsp 33048351 32923310 32923310 32969948 32950445 33022418
/home/lperez/instances/tsp/testing-2000//2000-618.tsp 32309691 32342226 32342226 32251953 32298177 32320945
/home/lperez/instances/tsp/testing-2000//2000-619.tsp 32477630 32438271 32438271 32388406 32405151 32479572
/home/lperez/instances/tsp/testing-2000//2000-620.tsp 32718111 32592468 32592468 32639093 32646174 32614226
/home/lperez/instances/tsp/testing-2000//2000-7.tsp 32520326 32606148 32606148 32484090 32527945 32569724
/home/lperez/instances/tsp/testing-2000//2000-701.tsp 32569019 32475548 32475548 32437117 32324830 32503415
/home/lperez/instances/tsp/testing-2000//2000-702.tsp 32704819 32481506 32481506 32512455 32536082 32599201
/home/lperez/instances/tsp/testing-2000//2000-703.tsp 32491244 32321783 32321783 32396539 32377816 32362090
/home/lperez/instances/tsp/testing-2000//2000-704.tsp 32792875 32653775 32653775 32753470 32690479 32656197
/home/lperez/instances/tsp/testing-2000//2000-705.tsp 32572575 32560439 32560439 32620658 32628404 32580964
/home/lperez/instances/tsp/testing-2000//2000-706.tsp 32423714 32300442 32300442 32349476 32364544 32365493
/home/lperez/instances/tsp/testing-2000//2000-707.tsp 32851058 32726363 32726363 32676200 32722339 32878552
/home/lperez/instances/tsp/testing-2000//2000-708.tsp 32941518 32839056 32839056 32992939 32881035 32867901
/home/lperez/instances/tsp/testing-2000//2000-709.tsp 32399830 32333299 32333299 32256970 32172705 32228807
/home/lperez/instances/tsp/testing-2000//2000-710.tsp 32947889 32909642 32909642 32955444 32961948 32947371
/home/lperez/instances/tsp/testing-2000//2000-711.tsp 32980030 32871716 32871716 32907022 32851912 32939144
/home/lperez/instances/tsp/testing-2000//2000-712.tsp 32747359 32739991 32739991 32766310 32716101 32705109
/home/lperez/instances/tsp/testing-2000//2000-713.tsp 32744490 32655104 32655104 32709810 32750321 32701911
/home/lperez/instances/tsp/testing-2000//2000-714.tsp 33306949 33197236 33197236 33169646 33172846 33188363
/home/lperez/instances/tsp/testing-2000//2000-715.tsp 32756843 32814207 32814207 32889174 32778539 32745739
/home/lperez/instances/tsp/testing-2000//2000-716.tsp 32369635 32373722 32373722 32450449 32420872 32429397
/home/lperez/instances/tsp/testing-2000//2000-717.tsp 32616549 32528600 32528600 32544107 32506285 32549388
/home/lperez/instances/tsp/testing-2000//2000-718.tsp 33004944 32958896 32958896 32988469 32974741 33082581
/home/lperez/instances/tsp/testing-2000//2000-719.tsp 32646527 32465068 32465068 32622439 32520800 32506757
/home/lperez/instances/tsp/testing-2000//2000-720.tsp 32920207 32744375 32744375 32742163 32733196 32797841
/home/lperez/instances/tsp/testing-2000//2000-8.tsp 32570322 32343839 32343839 32442216 32381698 32437273
/home/lperez/instances/tsp/testing-2000//2000-801.tsp 32842153 32793447 32793447 32810857 32785919 32827753
/home/lperez/instances/tsp/testing-2000//2000-802.tsp 33206334 33121030 33121030 33186009 33078265 33168547
/home/lperez/instances/tsp/testing-2000//2000-803.tsp 32311856 32233247 32233247 32270374 32254394 32238413
/home/lperez/instances/tsp/testing-2000//2000-804.tsp 32631661 32433722 32433722 32516063 32534032 32518804
/home/lperez/instances/tsp/testing-2000//2000-805.tsp 33031744 32914309 32914309 32995593 33060068 32933555
/home/lperez/instances/tsp/testing-2000//2000-806.tsp 33200954 33019452 33019452 33130035 33064258 33035204
/home/lperez/instances/tsp/testing-2000//2000-807.tsp 32313332 32166485 32166485 32380943 32281746 32274099
/home/lperez/instances/tsp/testing-2000//2000-808.tsp 32441308 32307602 32307602 32496409 32396425 32378432
/home/lperez/instances/tsp/testing-2000//2000-809.tsp 32608425 32509117 32509117 32569816 32520362 32549527
/home/lperez/instances/tsp/testing-2000//2000-810.tsp 32635805 32454687 32454687 32576281 32602600 32431896
/home/lperez/instances/tsp/testing-2000//2000-811.tsp 32857983 32897052 32897052 32848454 32803077 32795905
/home/lperez/instances/tsp/testing-2000//2000-812.tsp 32714071 32560608 32560608 32674502 32657598 32559545
/home/lperez/instances/tsp/testing-2000//2000-813.tsp 32859507 32891522 32891522 32887135 32819329 32744848
/home/lperez/instances/tsp/testing-2000//2000-814.tsp 32700718 32523332 32523332 32614547 32641289 32568071
/home/lperez/instances/tsp/testing-2000//2000-815.tsp 32622161 32612902 32612902 32611101 32566454 32622674
/home/lperez/instances/tsp/testing-2000//2000-816.tsp 32980648 32958739 32958739 32882094 32879988 32978819
/home/lperez/instances/tsp/testing-2000//2000-817.tsp 32900353 32718822 32718822 32735350 32720465 32784020
/home/lperez/instances/tsp/testing-2000//2000-818.tsp 32948489 32756486 32756486 32834325 32861665 32794346
/home/lperez/instances/tsp/testing-2000//2000-819.tsp 32805988 32596944 32596944 32667168 32696559 32731222
/home/lperez/instances/tsp/testing-2000//2000-820.tsp 32697992 32587761 32587761 32544950 32687072 32660022
/home/lperez/instances/tsp/testing-2000//2000-9.tsp 32919733 32774856 32774856 32766493 32786706 32795473
/home/lperez/instances/tsp/testing-2000//2000-901.tsp 32480324 32423199 32423199 32429749 32389825 32451221
/home/lperez/instances/tsp/testing-2000//2000-902.tsp 32586457 32506075 32506075 32467780 32493593 32558716
/home/lperez/instances/tsp/testing-2000//2000-903.tsp 32899596 32881924 32881924 32804964 32873168 32764237
/home/lperez/instances/tsp/testing-2000//2000-904.tsp 32648549 32492872 32492872 32534886 32515501 32531705
/home/lperez/instances/tsp/testing-2000//2000-905.tsp 32603759 32535218 32535218 32461096 32578729 32534583
/home/lperez/instances/tsp/testing-2000//2000-906.tsp 32451755 32363095 32363095 32403232 32444748 32441628
/home/lperez/instances/tsp/testing-2000//2000-907.tsp 32601339 32545834 32545834 32627806 32613180 32605042
/home/lperez/instances/tsp/testing-2000//2000-908.tsp 32937154 32823023 32823023 32910189 32827823 32938842
/home/lperez/instances/tsp/testing-2000//2000-909.tsp 32892007 32835926 32835926 32741085 32739197 32751311
/home/lperez/instances/tsp/testing-2000//2000-910.tsp 32359431 32364851 32364851 32398137 32372427 32356230
/home/lperez/instances/tsp/testing-2000//2000-911.tsp 32347370 32276822 32276822 32237767 32253342 32195863
/home/lperez/instances/tsp/testing-2000//2000-912.tsp 32539003 32456724 32456724 32412883 32509086 32484349
/home/lperez/instances/tsp/testing-2000//2000-913.tsp 32661704 32618814 32618814 32718874 32632332 32635114
/home/lperez/instances/tsp/testing-2000//2000-914.tsp 32748016 32682490 32682490 32689773 32728231 32705722
/home/lperez/instances/tsp/testing-2000//2000-915.tsp 32498319 32337527 32337527 32376498 32389419 32395895
/home/lperez/instances/tsp/testing-2000//2000-916.tsp 32723110 32643788 32643788 32547313 32663254 32661166
/home/lperez/instances/tsp/testing-2000//2000-917.tsp 32954706 32853155 32853155 32941322 32878475 32961887
/home/lperez/instances/tsp/testing-2000//2000-918.tsp 33384579 33241067 33241067 33329932 33243463 33327195
/home/lperez/instances/tsp/testing-2000//2000-919.tsp 32470964 32475528 32475528 32464301 32559555 32402799
/home/lperez/instances/tsp/testing-2000//2000-920.tsp 32511301 32313477 32313477 32265012 32421667 32286136
